species,n.ind,sp.name,gen.name,fam.name
Abarema sp.,1,Abarema,Abarema,Fabaceae
Abutilon eremitopetalum,1,Abutilon eremitopetalum,Abutilon,Malvaceae
Abutilon menziesii,30,Abutilon menziesii,Abutilon,Malvaceae
Acacia nilotica subsp. tomentosa,1,Vachellia nilotica tomentosa,Vachellia,Fabaceae
Acacia koa,10,Acacia koa,Acacia,Fabaceae
Acacia koaia,1502,Acacia koaia,Acacia,Fabaceae
Acalypha amentacea subsp. wilkesiana,14,Acalypha wilkesiana,Acalypha,Euphorbiaceae
Acalypha hispida,1,Acalypha hispida,Acalypha,Euphorbiaceae
Achyranthes splendens var. splendens,2,Achyranthes,Achyranthes,splendens
Achyranthes splendens var. rotundata,9,Achyranthes splendens,Achyranthes,Amaranthaceae
Achyranthes splendens,9,Achyranthes splendens,Achyranthes,Amaranthaceae
Achyranthes mutica,11,Achyranthes mutica,Achyranthes,Amaranthaceae
Acoelorrhaphe wrightii,8,Acoelorrhaphe wrightii,Acoelorrhaphe,Arecaceae
Acrocarpus fraxinifolius,1,Acrocarpus fraxinifolius,Acrocarpus,Fabaceae
Acrostichum danaeifolium,1,Acrostichum danaeifolium,Acrostichum,Pteridaceae
Actinokentia divaricata,6,Actinokentia divaricata,Actinokentia,Arecaceae
Actinorhytis calapparia,1,Actinorhytis calapparia,Actinorhytis,Arecaceae
Adansonia fony var. rubrostipa,1,Adansonia fony var. rubrostipa,Adansonia,Malvaceae
Adansonia gregorii,1,Adansonia gregorii,Adansonia,Malvaceae
Adansonia madagascariensis,2,Adansonia madagascariensis,Adansonia,Malvaceae
Adansonia sp.,2,Adansonia,Adansonia,Malvaceae
Adansonia za,3,Adansonia za,Adansonia,Malvaceae
Adansonia digitata,4,Adansonia digitata,Adansonia,Malvaceae
Adansonia grandidieri,4,Adansonia grandidieri,Adansonia,Malvaceae
Adenanthera pavonina,4,Adenanthera pavonina,Adenanthera,Fabaceae
Adenium obesum,1,Adenium obesum,Adenium,Apocynaceae
Adenium sp.,1,Adenium,Adenium,Apocynaceae
Adiantum hispidulum var. pubescens,2,Adiantum hispidulum,Adiantum,Pteridaceae
Adiantum peruvianum,1,Adiantum peruvianum,Adiantum,Pteridaceae
Adiantum sp.,1,Adiantum,Adiantum,Pteridaceae
Adiantum trapeziforme,1,Adiantum trapeziforme,Adiantum,Pteridaceae
Adonidia merrillii,38,Adonidia merrillii,Adonidia,Arecaceae
Aechmea aquilega,1,Aechmea aquilega,Aechmea,Bromeliaceae
Aechmea blanchetiana,1,Aechmea blanchetiana,Aechmea,Bromeliaceae
Aechmea bromeliifolia,1,Aechmea bromeliifolia,Aechmea,Bromeliaceae
Aechmea fulgens,1,Aechmea fulgens,Aechmea,Bromeliaceae
Aechmea mulfordii,1,Aechmea mulfordii,Aechmea,Bromeliaceae
Aechmea penduliflora,1,Aechmea penduliflora,Aechmea,Bromeliaceae
Aechmea pectinata,3,Aechmea pectinata,Aechmea,Bromeliaceae
Aechmea lueddemanniana,4,Aechmea lueddemanniana,Aechmea,Bromeliaceae
Aechmea nudicaulis,4,Aechmea nudicaulis,Aechmea,Bromeliaceae
Aechmea fasciata,5,Aechmea fasciata,Aechmea,Bromeliaceae
Aechmea sp.,8,Aechmea,Aechmea,Bromeliaceae
Aechmea hybrid,18,Aechmea,Aechmea,Bromeliaceae
Aegle marmelos,2,Aegle marmelos,Aegle,Rutaceae
Aerides crassifolium,1,Aerides crassifolium,Aerides,Orchidaceae
Aerides lawrenceae,1,Aerides lawrenceae,Aerides,Orchidaceae
Aerides multiflora,1,Aerides multiflora,Aerides,Orchidaceae
Aerides sp.,1,Aerides,Aerides,Orchidaceae
Aerides odorata,3,Aerides odorata,Aerides,Orchidaceae
Afrocarpus falcatus,3,Afrocarpus falcatus,Afrocarpus,Podocarpaceae
Afrocarpus gracilior,7,Afrocarpus gracilior,Afrocarpus,Podocarpaceae
Agathis australis,1,Agathis australis,Agathis,Araucariaceae
Agathis macrophylla,1,Agathis macrophylla,Agathis,Araucariaceae
Agathis robusta,4,Agathis robusta,Agathis,Araucariaceae
Agave polyacantha var. xalapensis,2,Agave obscura,Agave,Asparagaceae
Agave cocui,1,Agave cocui,Agave,Asparagaceae
Agave guiengola,1,Agave guiengola,Agave,Asparagaceae
Agave attenuata,2,Agave attenuata,Agave,Asparagaceae
Agave geminiflora,8,Agave geminiflora,Agave,Asparagaceae
Agave bracteosa,10,Agave bracteosa,Agave,Asparagaceae
Aglaia mariannensis,1,Aglaia mariannensis,Aglaia,Meliaceae
Aglaia odorata,1,Aglaia odorata,Aglaia,Meliaceae
Aglaia saltatorum,1,Aglaia saltatorum,Aglaia,Meliaceae
Aglaomorpha sp.,1,Aglaomorpha,Aglaomorpha,Polypodiaceae
Aidia cochinchinensis,4,Aidia cochinchinensis,Aidia,Rubiaceae
Aiphanes horrida,1,Aiphanes horrida,Aiphanes,Arecaceae
Aiphanes lindeniana,1,Aiphanes lindeniana,Aiphanes,Arecaceae
Aiphanes minima,3,Aiphanes minima,Aiphanes,Arecaceae
Albizia niopoides,1,Albizia niopoides,Albizia,Fabaceae
Albizia tanganyicensis,1,Albizia tanganyicensis,Albizia,Fabaceae
Albizia zygia,1,Albizia zygia,Albizia,Fabaceae
Alcantarea imperialis,3,Vriesea imperialis,Vriesea,Bromeliaceae
Alectryon macrococcus var. macrococcus,6,Alectryon macrococcus var. macrococcus,Alectryon,Sapindaceae
Aleurites moluccana,5,Aleurites moluccana,Aleurites,
Alibertia patinoi,5,Alibertia patinoi,Alibertia,Rubiaceae
Allamanda cathartica,3,Allamanda cathartica,Allamanda,Apocynaceae
Allocasuarina paludosa,1,Allocasuarina paludosa,Allocasuarina,Casuarinaceae
Allophylus timoriensis,2,Allophylus timoriensis,Allophylus,Sapindaceae
Allophylus cobbe,4,Allophylus cobbe,Allophylus,Sapindaceae
Alluaudia comosa,1,Alluaudia comosa,Alluaudia,Didiereaceae
Alluaudia humbertii,1,Alluaudia humbertii,Alluaudia,Didiereaceae
Alluaudia procera,2,Alluaudia procera,Alluaudia,Didiereaceae
Alocasia micholitziana,1,Alocasia micholitziana,Alocasia,Araceae
Alocasia portei,2,Alocasia portei,Alocasia,Araceae
Alocasia sp.,2,Alocasia,Alocasia,Araceae
Alocasia zebrina,4,Alocasia zebrina,Alocasia,Araceae
Alocasia brancifolia,5,Alocasia brancifolia,Alocasia,Araceae
Alocasia cucullata,5,Alocasia cucullata,Alocasia,Araceae
Alocasia lancifolia,7,Alocasia lancifolia,Alocasia,Araceae
Alocasia lauterbachiana,7,Alocasia lauterbachiana,Alocasia,Araceae
Alocasia hybrid,16,Alocasia,Alocasia,Araceae
Alocasia macrorrhizos,16,Alocasia macrorrhizos,Alocasia,Araceae
Aloe bulbillifera var. paulinae,1,Aloe bulbillifera var. paulianae,Aloe,Xanthorrhoeaceae
Aloe ciliaris var. tidmarshii,8,Aloiampelos ciliaris var. tidmarshii,Aloiampelos,Xanthorrhoeaceae
Aloe barberae,1,Aloe barberae,Aloe,Xanthorrhoeaceae
Aloe lomatophylloides,1,Aloe lomatophylloides,Aloe,Xanthorrhoeaceae
Aloe purpurea,1,Aloe purpurea,Aloe,Xanthorrhoeaceae
Aloe ciliaris,2,Aloe ciliaris,Aloe,Xanthorrhoeaceae
Aloe dorotheae,2,Aloe dorotheae,Aloe,Xanthorrhoeaceae
Aloe vera,2,Aloe vera,Aloe,Xanthorrhoeaceae
Aloe sp.,4,Aloe,Aloe,Xanthorrhoeaceae
Aloe macra,5,Aloe macra,Aloe,Xanthorrhoeaceae
Aloe hybrid,7,Aloe,Aloe,Xanthorrhoeaceae
Aloysia citriodora,1,Aloysia citriodora,Aloysia,Verbenaceae
Aloysia virgata,5,Aloysia virgata,Aloysia,Verbenaceae
Alphitonia zizyphoides,1,Alphitonia zizyphoides,Alphitonia,Rhamnaceae
Alphitonia ponderosa,2,Alphitonia ponderosa,Alphitonia,Rhamnaceae
Alphitonia excelsa,3,Alphitonia excelsa,Alphitonia,Rhamnaceae
Alpinia boninsimensis,1,Alpinia boninsimensis,Alpinia,Zingiberaceae
Alpinia caerulea,1,Alpinia caerulea,Alpinia,Zingiberaceae
Alpinia haenkei,1,Alpinia haenkei,Alpinia,Zingiberaceae
Alpinia malaccensis,1,Alpinia malaccensis,Alpinia,Zingiberaceae
Alpinia oceanica,1,Alpinia oceanica,Alpinia,Zingiberaceae
Alpinia bilamellata,2,Alpinia bilamellata,Alpinia,Zingiberaceae
Alpinia foxworthyi,2,Alpinia foxworthyi,Alpinia,Zingiberaceae
Alpinia luteo-carpa,2,Alpinia luteo-carpa,Alpinia,Zingiberaceae
Alpinia nieuwenhuizii,2,Alpinia nieuwenhuizii,Alpinia,Zingiberaceae
Alpinia novae-pommeraniae,2,Alpinia novae-pommeraniae,Alpinia,Zingiberaceae
Alpinia carolinensis,3,Alpinia carolinensis,Alpinia,Zingiberaceae
Alpinia galanga,3,Alpinia galanga,Alpinia,Zingiberaceae
Alpinia hainanensis,3,Alpinia hainanensis,Alpinia,Zingiberaceae
Alpinia pubiflora,3,Alpinia pubiflora,Alpinia,Zingiberaceae
Alpinia latilabris,6,Alpinia latilabris,Alpinia,Zingiberaceae
Alpinia mutica,7,Alpinia mutica,Alpinia,Zingiberaceae
Alpinia zerumbet,7,Alpinia zerumbet,Alpinia,Zingiberaceae
Alpinia sp.,17,Alpinia,Alpinia,Zingiberaceae
Alpinia purpurata,23,Alpinia purpurata,Alpinia,Zingiberaceae
Alstonia macrophylla,1,Alstonia macrophylla,Alstonia,Apocynaceae
Alstonia scholaris,1,Alstonia scholaris,Alstonia,Apocynaceae
Alternanthera philoxeroides,1,Alternanthera philoxeroides,Alternanthera,Amaranthaceae
Alternanthera sp.,12,Alternanthera,Alternanthera,Amaranthaceae
Alyxia stellata,1868,Alyxia stellata,Alyxia,Apocynaceae
Amherstia nobilis,1,Amherstia nobilis,Amherstia,Fabaceae
Amorphophallus gigas,1,Amorphophallus gigas,Amorphophallus,Araceae
Amorphophallus lambii,3,Amorphophallus lambii,Amorphophallus,Araceae
Amorphophallus maxwellii,4,Amorphophallus maxwellii,Amorphophallus,Araceae
Amorphophallus titanum,4,Amorphophallus titanum,Amorphophallus,Araceae
Amphitecna latifolia,5,Amphitecna latifolia,Amphitecna,Bignoniaceae
Anadenanthera colubrina,1,Anadenanthera colubrina,Anadenanthera,Fabaceae
Ananas bracteatus,1,Ananas bracteatus,Ananas,Bromeliaceae
Angiopteris d'urvilleana,1,Angiopteris,Angiopteris,Marattiaceae
Angiopteris sp.,2,Angiopteris,Angiopteris,Marattiaceae
Angraecum eichlerianum,1,Angraecum eichlerianum,Angraecum,Orchidaceae
Angraecum leonis,3,Angraecum leonis,Angraecum,Orchidaceae
Anguloa hybrid,1,Anguloa,Anguloa,Orchidaceae
Angylocalyx braunii,2,Angylocalyx braunii,Angylocalyx,Fabaceae
Anisacanthus quadrifidus,3,Anisacanthus quadrifidus,Anisacanthus,Acanthaceae
Annona emarginata,1,Annona emarginata,Annona,Annonaceae
Annona glabra,1,Annona glabra,Annona,Annonaceae
Annona hybrid,1,Annona,Annona,Annonaceae
Annona montana,1,Annona montana,Annona,Annonaceae
Annona scleroderma,1,Annona scleroderma,Annona,Annonaceae
Annona reticulata,2,Annona reticulata,Annona,Annonaceae
Annona ×atemoya,4,Annona xatemoya,Annona,Annonaceae
Annona muricata,5,Annona muricata,Annona,Annonaceae
Annona squamosa,7,Annona squamosa,Annona,Annonaceae
Anotea flavida,6,Anotea flavida,Anotea,Malvaceae
Anthurium atropurpureum var. atropurpureum,1,Anthurium atropurpureum,Anthurium,Araceae
Anthurium acaule,1,Anthurium acaule,Anthurium,Araceae
Anthurium affine,1,Anthurium affine,Anthurium,Araceae
Anthurium amnicola,1,Anthurium amnicola,Anthurium,Araceae
Anthurium andraeanum,1,Anthurium andraeanum,Anthurium,Araceae
Anthurium caucavallense,1,Anthurium caucavallense,Anthurium,Araceae
Anthurium cerrobaulense,1,Anthurium cerrobaulense,Anthurium,Araceae
Anthurium colonicum,1,Anthurium colonicum,Anthurium,Araceae
Anthurium fendleri,1,Anthurium fendleri,Anthurium,Araceae
Anthurium latissimum,1,Anthurium latissimum,Anthurium,Araceae
Anthurium lilacinum,1,Anthurium lilacinum,Anthurium,Araceae
Anthurium llewelynii,1,Anthurium llewelynii,Anthurium,Araceae
Anthurium lucens,1,Anthurium lucens,Anthurium,Araceae
Anthurium pentaphyllum,1,Anthurium pentaphyllum,Anthurium,Araceae
Anthurium salvinii,1,Anthurium salvinii,Anthurium,Araceae
Anthurium schottianum,1,Anthurium schottianum,Anthurium,Araceae
Anthurium seleri,1,Anthurium seleri,Anthurium,Araceae
Anthurium standleyi,1,Anthurium standleyi,Anthurium,Araceae
Anthurium barclayanum,2,Anthurium barclayanum,Anthurium,Araceae
Anthurium clavigerum,2,Anthurium clavigerum,Anthurium,Araceae
Anthurium paraguayense,2,Anthurium paraguayense,Anthurium,Araceae
Anthurium plowmanii,2,Anthurium plowmanii,Anthurium,Araceae
Anthurium radicans,2,Anthurium radicans,Anthurium,Araceae
Anthurium upalaense,2,Anthurium upalaense,Anthurium,Araceae
Anthurium fosteri,3,Anthurium fosteri,Anthurium,Araceae
Anthurium schlechtendalii,3,Anthurium schlechtendalii,Anthurium,Araceae
Anthurium sinuatum,3,Anthurium sinuatum,Anthurium,Araceae
Anthurium tarapotense,3,Anthurium tarapotense,Anthurium,Araceae
Anthurium hookeri,5,Anthurium hookeri,Anthurium,Araceae
Anthurium jenmanii,9,Anthurium jenmanii,Anthurium,Araceae
Anthurium hybrid,14,Anthurium,Anthurium,Araceae
Anthurium sp.,15,Anthurium,Anthurium,Araceae
Antiaris toxicaria,1,Antiaris toxicaria,Antiaris,Moraceae
Antidesma excavatum var. excavatum,7,Antidesma excavatum,Antidesma,Phyllanthaceae
Antidesma montanum,1,Antidesma montanum,Antidesma,Phyllanthaceae
Antidesma madagascariense,2,Antidesma madagascariense,Antidesma,Phyllanthaceae
Antidesma sp.,3,Antidesma,Antidesma,Phyllanthaceae
Antidesma venosum,5,Antidesma venosum,Antidesma,Phyllanthaceae
Antidesma bunius,9,Antidesma bunius,Antidesma,Phyllanthaceae
Antidesma platyphyllum,190,Antidesma platyphyllum,Antidesma,Phyllanthaceae
Aphanamixis polystachya,1,Aphanamixis polystachya,Aphanamixis,Meliaceae
Aphelandra schiedeana,1,Aphelandra schiedeana,Aphelandra,Acanthaceae
Aphelandra tetragona,1,Aphelandra arborea,Aphelandra,Acanthaceae
Aponogeton madagascariensis,1,Aponogeton madagascariensis,Aponogeton,Aponogetonaceae
Aptenia cordifolia,13,Mesembryanthemum cordifolium,Mesembryanthemum,Aizoaceae
Arachis pintoi,4,Arachis pintoi,Arachis,Fabaceae
Arachis glabrata,832,Arachis glabrata,Arachis,Fabaceae
Arachniodes simplicior,2,Arachniodes simplicior,Arachniodes,Dryopteridaceae
Arachnothryx leucophylla,154,Arachnothryx leucophylla,Arachnothryx,Rubiaceae
Araucaria araucana,1,Araucaria araucana,Araucaria,Araucariaceae
Araucaria cunninghamii,1,Araucaria cunninghamii,Araucaria,Araucariaceae
Araucaria hunsteinii,1,Araucaria hunsteinii,Araucaria,Araucariaceae
Araucaria luxurians,1,Araucaria luxurians,Araucaria,Araucariaceae
Araucaria montana,1,Araucaria montana,Araucaria,Araucariaceae
Araucaria nemorosa,1,Araucaria nemorosa,Araucaria,Araucariaceae
Araucaria rulei,2,Araucaria rulei,Araucaria,Araucariaceae
Araucaria columnaris,4,Araucaria columnaris,Araucaria,Araucariaceae
Araucaria heterophylla,4,Araucaria heterophylla,Araucaria,Araucariaceae
Araucaria bidwillii,6,Araucaria bidwillii,Araucaria,Araucariaceae
Araucaria biramulata,6,Araucaria biramulata,Araucaria,Araucariaceae
Archidendron hendersonii,1,Archidendron hendersonii,Archidendron,Fabaceae
Archontophoenix cunninghamiana,1,Archontophoenix cunninghamiana,Archontophoenix,Arecaceae
Archontophoenix maxima,1,Archontophoenix maxima,Archontophoenix,Arecaceae
Archontophoenix sp.,3,Archontophoenix,Archontophoenix,Arecaceae
Archontophoenix alexandrae,18,Archontophoenix alexandrae,Archontophoenix,Arecaceae
Ardisia escallonioides,1,Ardisia escallonioides,Ardisia,Primulaceae
Areca macrocalyx,1,Areca macrocalyx,Areca,Arecaceae
Areca vestiaria,2,Areca vestiaria,Areca,Arecaceae
Areca macrocarpa,3,Areca catechu,Areca,Arecaceae
Areca catechu,8,Areca catechu,Areca,Arecaceae
Areca triandra,17,Areca triandra,Areca,Arecaceae
Arenga caudata,1,Arenga caudata,Arenga,Arecaceae
Arenga porphyrocarpa,1,Arenga porphyrocarpa,Arenga,Arecaceae
Arenga tremula,1,Arenga tremula,Arenga,Arecaceae
Arenga obtusifolia,2,Arenga obtusifolia,Arenga,Arecaceae
Arenga pinnata,2,Arenga pinnata,Arenga,Arecaceae
Arenga sp.,3,Arenga,Arenga,Arecaceae
Arenga engleri,4,Arenga engleri,Arenga,Arecaceae
Arenga microcarpa,7,Arenga microcarpa,Arenga,Arecaceae
Arenga hookeriana,11,Arenga hookeriana,Arenga,Arecaceae
Argemone glauca var. glauca,3,Argemone,Argemone,Papaveraceae
Argemone glauca,51,Argemone glauca,Argemone,Papaveraceae
Argyreia nervosa,1,Argyreia nervosa,Argyreia,Convolvulaceae
Aristolochia gibertii,1,Aristolochia gibertii,Aristolochia,Aristolochiaceae
Aristolochia grandiflora,1,Aristolochia grandiflora,Aristolochia,Aristolochiaceae
Aristolochia gigantea,2,Aristolochia gigantea,Aristolochia,Aristolochiaceae
Aristolochia sp.,2,Aristolochia,Aristolochia,Aristolochiaceae
Artabotrys hexapetalus,2,Artabotrys hexapetalus,Artabotrys,Annonaceae
Artemisia australis,255,Artemisia australis,Artemisia,Asteraceae
Artocarpus altilis 'Aarue',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Abareba',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Afara',4,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ahani',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Anahonaho',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Apu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Apuapua',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Araarahaari',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Atu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Aumee',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Aveloloa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Blo Lili',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Blo Toki',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus mariannensis 'Dugdug',10,Artocarpus mariannensis,Artocarpus,Moraceae
Artocarpus altilis 'Enua',3,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Fafai',4,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Forari 2',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Furau',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Hamoa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Huero ninamu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Huero',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ioio',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus camansi 'Kamansi',2,Artocarpus camansi,Artocarpus,Moraceae
Artocarpus camansi 'Kapiak',29,Artocarpus camansi,Artocarpus,Moraceae
Artocarpus altilis 'Karawa',4,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Kea',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Kukumu tasi',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus mariannensis 'Kuru kiniti',2,Artocarpus mariannensis,Artocarpus,Moraceae
Artocarpus altilis 'Lemae',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mahani',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Maire',3,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Malphang',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mamaha',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Manang',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Manua',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Masee',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei aueka',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei chon',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei kauhiva',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei kiiahi',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei kopumoko',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei maoi',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei puau',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei puou',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Mei kakano',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meikalak en Meikuet',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meikalak',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus camansi 'Meikole',1,Artocarpus camansi,Artocarpus,Moraceae
Artocarpus altilis 'Meinuwe',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meisaip',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meisei',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meitehid',3,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meiuhpw',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Meriaur',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Momolega',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus heterophyllus 'Nsi',2,Artocarpus heterophyllus,Artocarpus,Moraceae
Artocarpus altilis 'Otea',8,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ouo',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Paea',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Patara',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Piipiia',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Porohiti',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Pua',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Puaa',4,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Pulupulu',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Puou',11,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Puupuu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Puurea',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Rare autia',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Rare',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Raumae',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Rauulu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Roihaa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Rotuma',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Sagosago',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Samoan 1',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Samoan 2',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Samoan',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Siviri 3',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Siviri 2',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tapehaa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Teahimatoa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tedailir',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tehelewa',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus camansi 'Timbul',1,Artocarpus camansi,Artocarpus,Moraceae
Artocarpus altilis 'Toro',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tuutou auena',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tuutou ooa',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tuutou taatoe',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Tuutou',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu ea',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu fatu',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu tala',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu sina',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu Fiti',11,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Ulu',22,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 1,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 2,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 3,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 4,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 7,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 9,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 10,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 11,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 14,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 15,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 16,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 17,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 19,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis Undet cv 25,1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Uto ni Viti',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Uto dina',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'Uto vula',2,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis 'White',5,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis x mariannensis 'Errud',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis x mariannensis 'Faine',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis x mariannensis 'Luthar',1,Artocarpus altilis,Artocarpus,Moraceae
Artocarpus altilis x mariannensis 'Mei 4',1,Artocarpus altilis,Artocarpus,Moraceae
